Search Link,Name,Short Name,Tax Status,Parcels,County Code,County Name,State,Auction Date,Time,Location,Notes,Register Date,Register Link,List Link,Purchase Info Link
https://parcelfair.com/map?countyCode=8041,El Paso County Foreclosure Auction,El Paso Foreclosure Auction,Foreclosure,0,8041,El Paso,CO,2026-03-18,10:00 AM,Real Foreclosure (Online),,2026-03-18,https://elpasoco.realforeclose.com/index.cfm?zaction=home&zmethod=faq,https://elpasoco.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=PREVIEW&AuctionDate=3/18/2026,https://elpasoco.realforeclose.com/index.cfm?zaction=home&zmethod=faq
https://parcelfair.com/map?countyCode=8059,"Jefferson, CO - Deed Sale",Jefferson Deed Sale,Deed,0,8059,Jefferson,CO,2026-03-18,12:00 PM,www.zeusauction.com,,N/A,,https://sriservices.com/#/properties?state=CO&county=Jefferson&saleType=Deed Sale,
https://parcelfair.com/map?countyCode=8101,"Pueblo, CO - Deed Sale",Pueblo Deed Sale,Deed,0,8101,Pueblo,CO,2026-03-18,4:30 AM,www.zeusauction.com,,N/A,,https://sriservices.com/#/properties?state=CO&county=Pueblo&saleType=Deed Sale,
https://parcelfair.com/map?countyCode=8031,Denver County Foreclosure Auction,Denver Foreclosure Auction,Foreclosure,16,8031,Denver,CO,2026-03-19,10:00 AM,Real Foreclosure (Online),,2026-03-19,https://denver.realforeclose.com/index.cfm?zaction=home&zmethod=faq,https://denver.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=PREVIEW&AuctionDate=3/19/2026,https://denver.realforeclose.com/index.cfm?zaction=home&zmethod=faq
https://parcelfair.com/map?countyCode=8041,El Paso County Foreclosure Auction,El Paso Foreclosure Auction,Foreclosure,0,8041,El Paso,CO,2026-03-25,10:00 AM,Real Foreclosure (Online),,2026-03-25,https://elpasoco.realforeclose.com/index.cfm?zaction=home&zmethod=faq,https://elpasoco.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=PREVIEW&AuctionDate=3/25/2026,https://elpasoco.realforeclose.com/index.cfm?zaction=home&zmethod=faq
https://parcelfair.com/map?countyCode=8031,Denver County Foreclosure Auction,Denver Foreclosure Auction,Foreclosure,12,8031,Denver,CO,2026-03-26,10:00 AM,Real Foreclosure (Online),,2026-03-26,https://denver.realforeclose.com/index.cfm?zaction=home&zmethod=faq,https://denver.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=PREVIEW&AuctionDate=3/26/2026,https://denver.realforeclose.com/index.cfm?zaction=home&zmethod=faq
https://parcelfair.com/map?countyCode=8041,El Paso County Foreclosure Auction,El Paso Foreclosure Auction,Foreclosure,0,8041,El Paso,CO,2026-04-01,10:00 AM,Real Foreclosure (Online),,2026-04-01,https://elpasoco.realforeclose.com/index.cfm?zaction=home&zmethod=faq,https://elpasoco.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=PREVIEW&AuctionDate=4/1/2026,https://elpasoco.realforeclose.com/index.cfm?zaction=home&zmethod=faq
https://parcelfair.com/map?countyCode=8031,Denver County Foreclosure Auction,Denver Foreclosure Auction,Foreclosure,1,8031,Denver,CO,2026-04-02,10:00 AM,Real Foreclosure (Online),,2026-04-02,https://denver.realforeclose.com/index.cfm?zaction=home&zmethod=faq,https://denver.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=PREVIEW&AuctionDate=4/2/2026,https://denver.realforeclose.com/index.cfm?zaction=home&zmethod=faq
https://parcelfair.com/map?countyCode=8041,El Paso County Foreclosure Auction,El Paso Foreclosure Auction,Foreclosure,0,8041,El Paso,CO,2026-04-08,10:00 AM,Real Foreclosure (Online),,2026-04-08,https://elpasoco.realforeclose.com/index.cfm?zaction=home&zmethod=faq,https://elpasoco.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=PREVIEW&AuctionDate=4/8/2026,https://elpasoco.realforeclose.com/index.cfm?zaction=home&zmethod=faq
https://parcelfair.com/map?countyCode=8041,El Paso County Foreclosure Auction,El Paso Foreclosure Auction,Foreclosure,0,8041,El Paso,CO,2026-04-15,10:00 AM,Real Foreclosure (Online),,2026-04-15,https://elpasoco.realforeclose.com/index.cfm?zaction=home&zmethod=faq,https://elpasoco.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=PREVIEW&AuctionDate=4/15/2026,https://elpasoco.realforeclose.com/index.cfm?zaction=home&zmethod=faq
https://parcelfair.com/map?countyCode=8041,El Paso County Foreclosure Auction,El Paso Foreclosure Auction,Foreclosure,0,8041,El Paso,CO,2026-04-22,10:00 AM,Real Foreclosure (Online),,2026-04-22,https://elpasoco.realforeclose.com/index.cfm?zaction=home&zmethod=faq,https://elpasoco.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=PREVIEW&AuctionDate=4/22/2026,https://elpasoco.realforeclose.com/index.cfm?zaction=home&zmethod=faq
https://parcelfair.com/map?countyCode=8041,El Paso County Foreclosure Auction,El Paso Foreclosure Auction,Foreclosure,0,8041,El Paso,CO,2026-04-29,10:00 AM,Real Foreclosure (Online),,2026-04-29,https://elpasoco.realforeclose.com/index.cfm?zaction=home&zmethod=faq,https://elpasoco.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=PREVIEW&AuctionDate=4/29/2026,https://elpasoco.realforeclose.com/index.cfm?zaction=home&zmethod=faq
https://parcelfair.com/map?countyCode=8041,El Paso County Foreclosure Auction,El Paso Foreclosure Auction,Foreclosure,0,8041,El Paso,CO,2026-05-06,10:00 AM,Real Foreclosure (Online),,2026-05-06,https://elpasoco.realforeclose.com/index.cfm?zaction=home&zmethod=faq,https://elpasoco.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=PREVIEW&AuctionDate=5/6/2026,https://elpasoco.realforeclose.com/index.cfm?zaction=home&zmethod=faq
https://parcelfair.com/map?countyCode=8101,"Pueblo, CO - Deed Sale",Pueblo Deed Sale,Deed,0,8101,Pueblo,CO,2026-05-13,4:30 PM,www.zeusauction.com,,N/A,,https://sriservices.com/#/properties?state=CO&county=Pueblo&saleType=Deed Sale,
